=======================================================
🏟️  FULL 9-INNING BASEBALL SIMULATION START
=======================================================
Outcome: STRIKE     | Top 1 | AWAY 0 - 0 HOME | O:0 S:1 B:0 | Bases: 000
Outcome: FOUL       | Bot 1 | AWAY 11 - 0 HOME | O:0 S:1 B:0 | Bases: 100
Outcome: STRIKE     | Bot 1 | AWAY 11 - 0 HOME | O:0 S:2 B:0 | Bases: 100
Outcome: HOME RUN   | Bot 1 | AWAY 11 - 2 HOME | O:0 S:0 B:0 | Bases: 000
Outcome: HOME RUN   | Bot 1 | AWAY 11 - 3 HOME | O:0 S:0 B:0 | Bases: 000
Outcome: BALL       | Bot 1 | AWAY 11 - 3 HOME | O:0 S:0 B:1 | Bases: 000
Outcome: FAIR       | Bot 1 | AWAY 11 - 3 HOME | O:0 S:0 B:0 | Bases: 100
Outcome: STRIKE     | Bot 1 | AWAY 11 - 3 HOME | O:0 S:1 B:0 | Bases: 100
Outcome: HOME RUN   | Bot 1 | AWAY 11 - 5 HOME | O:0 S:0 B:0 | Bases: 000
Outcome: STRIKE     | Bot 1 | AWAY 11 - 5 HOME | O:0 S:1 B:0 | Bases: 000
Outcome: STRIKE     | Bot 1 | AWAY 11 - 5 HOME | O:0 S:2 B:0 | Bases: 000
Outcome: STRIKE     | Bot 1 | AWAY 11 - 5 HOME | O:1 S:0 B:0 | Bases: 000
Outcome: STRIKE     | Bot 1 | AWAY 11 - 5 HOME | O:1 S:1 B:0 | Bases: 000
Outcome: STRIKE     | Bot 1 | AWAY 11 - 5 HOME | O:1 S:2 B:0 | Bases: 000
Outcome: FAIR       | Bot 1 | AWAY 11 - 5 HOME | O:1 S:0 B:0 | Bases: 100
Outcome: BALL       | Bot 1 | AWAY 11 - 5 HOME | O:1 S:0 B:1 | Bases: 100
Outcome: BALL       | Bot 1 | AWAY 11 - 5 HOME | O:1 S:0 B:2 | Bases: 100
Outcome: STRIKE     | Bot 1 | AWAY 11 - 5 HOME | O:1 S:1 B:2 | Bases: 100
Outcome: FOUL       | Bot 1 | AWAY 11 - 5 HOME | O:1 S:1 B:0 | Bases: 100
Outcome: BALL       | Bot 1 | AWAY 11 - 5 HOME | O:1 S:1 B:1 | Bases: 100
Outcome: STRIKE     | Bot 1 | AWAY 11 - 5 HOME | O:1 S:2 B:1 | Bases: 100
Outcome: STRIKE     | Bot 1 | AWAY 11 - 5 HOME | O:2 S:0 B:0 | Bases: 100
Outcome: BALL       | Bot 1 | AWAY 11 - 5 HOME | O:2 S:0 B:1 | Bases: 100
Outcome: FOUL       | Bot 1 | AWAY 11 - 5 HOME | O:2 S:1 B:0 | Bases: 100
Outcome: STRIKE     | Bot 1 | AWAY 11 - 5 HOME | O:2 S:2 B:0 | Bases: 100
Outcome: FAIR       | Bot 1 | AWAY 11 - 5 HOME | O:2 S:0 B:0 | Bases: 110
Outcome: FAIR       | Bot 1 | AWAY 11 - 5 HOME | O:2 S:0 B:0 | Bases: 111
Outcome: STRIKE     | Bot 1 | AWAY 11 - 5 HOME | O:2 S:1 B:0 | Bases: 111
Outcome: BALL       | Bot 1 | AWAY 11 - 5 HOME | O:2 S:1 B:1 | Bases: 111
Outcome: STRIKE     | Bot 1 | AWAY 11 - 5 HOME | O:2 S:2 B:1 | Bases: 111
Outcome: BALL       | Bot 1 | AWAY 11 - 5 HOME | O:2 S:2 B:2 | Bases: 111
Outcome: STRIKE     | Top 2 | AWAY 11 - 5 HOME | O:0 S:0 B:0 | Bases: 000
Outcome: STRIKE     | Top 2 | AWAY 11 - 5 HOME | O:0 S:1 B:0 | Bases: 000
Outcome: STRIKE     | Top 2 | AWAY 11 - 5 HOME | O:0 S:2 B:0 | Bases: 000
Outcome: HOME RUN   | Top 2 | AWAY 12 - 5 HOME | O:0 S:0 B:0 | Bases: 000
Outcome: STRIKE     | Top 2 | AWAY 12 - 5 HOME | O:0 S:1 B:0 | Bases: 000
Outcome: BALL       | Top 2 | AWAY 12 - 5 HOME | O:0 S:1 B:1 | Bases: 000
Outcome: BALL       | Top 2 | AWAY 12 - 5 HOME | O:0 S:1 B:2 | Bases: 000
Outcome: BALL       | Top 2 | AWAY 12 - 5 HOME | O:0 S:1 B:3 | Bases: 000
Outcome: HOME RUN   | Top 2 | AWAY 13 - 5 HOME | O:0 S:0 B:0 | Bases: 000
Outcome: STRIKE     | Top 2 | AWAY 13 - 5 HOME | O:0 S:1 B:0 | Bases: 000
Outcome: STRIKE     | Top 2 | AWAY 13 - 5 HOME | O:0 S:2 B:0 | Bases: 000
Outcome: FAIR       | Top 2 | AWAY 13 - 5 HOME | O:0 S:0 B:0 | Bases: 100
Outcome: BALL       | Top 2 | AWAY 13 - 5 HOME | O:0 S:0 B:1 | Bases: 100
Outcome: FOUL       | Top 2 | AWAY 13 - 5 HOME | O:0 S:1 B:0 | Bases: 100
Outcome: STRIKE     | Top 2 | AWAY 13 - 5 HOME | O:0 S:2 B:0 | Bases: 100
Outcome: BALL       | Top 2 | AWAY 13 - 5 HOME | O:0 S:2 B:1 | Bases: 100
Outcome: STRIKE     | Top 2 | AWAY 13 - 5 HOME | O:1 S:0 B:0 | Bases: 100
Outcome: FAIR       | Top 2 | AWAY 13 - 5 HOME | O:1 S:0 B:0 | Bases: 110
Outcome: STRIKE     | Top 2 | AWAY 13 - 5 HOME | O:1 S:1 B:0 | Bases: 110
Outcome: BALL       | Top 2 | AWAY 13 - 5 HOME | O:1 S:1 B:1 | Bases: 110
Outcome: FOUL       | Top 2 | AWAY 13 - 5 HOME | O:1 S:1 B:0 | Bases: 110
Outcome: STRIKE     | Top 2 | AWAY 13 - 5 HOME | O:1 S:2 B:0 | Bases: 110
Outcome: FOUL       | Top 2 | AWAY 13 - 5 HOME | O:1 S:1 B:0 | Bases: 110
Outcome: STRIKE     | Top 2 | AWAY 13 - 5 HOME | O:1 S:2 B:0 | Bases: 110
Outcome: BALL       | Top 2 | AWAY 13 - 5 HOME | O:1 S:2 B:1 | Bases: 110
Outcome: FAIR       | Top 2 | AWAY 13 - 5 HOME | O:1 S:0 B:0 | Bases: 111
Outcome: STRIKE     | Top 2 | AWAY 13 - 5 HOME | O:1 S:1 B:0 | Bases: 111
Outcome: STRIKE     | Top 2 | AWAY 13 - 5 HOME | O:1 S:2 B:0 | Bases: 111
Outcome: STRIKE     | Top 2 | AWAY 13 - 5 HOME | O:2 S:0 B:0 | Bases: 111
Outcome: STRIKE     | Top 2 | AWAY 13 - 5 HOME | O:2 S:1 B:0 | Bases: 111
Outcome: BALL       | Top 2 | AWAY 13 - 5 HOME | O:2 S:1 B:1 | Bases: 111
Outcome: FOUL       | Top 2 | AWAY 13 - 5 HOME | O:2 S:1 B:0 | Bases: 111
Outcome: HOME RUN   | Top 2 | AWAY 17 - 5 HOME | O:2 S:0 B:0 | Bases: 000
Outcome: HOME RUN   | Top 2 | AWAY 18 - 5 HOME | O:2 S:0 B:0 | Bases: 000
Outcome: STRIKE     | Top 2 | AWAY 18 - 5 HOME | O:2 S:1 B:0 | Bases: 000
Outcome: STRIKE     | Top 2 | AWAY 18 - 5 HOME | O:2 S:2 B:0 | Bases: 000
Outcome: BALL       | Top 2 | AWAY 18 - 5 HOME | O:2 S:2 B:1 | Bases: 000
Outcome: FAIR       | Top 2 | AWAY 18 - 5 HOME | O:2 S:0 B:0 | Bases: 100
Outcome: FAIR       | Top 2 | AWAY 18 - 5 HOME | O:2 S:0 B:0 | Bases: 110
Outcome: FOUL       | Top 2 | AWAY 18 - 5 HOME | O:2 S:1 B:0 | Bases: 110
Outcome: FOUL       | Top 2 | AWAY 18 - 5 HOME | O:2 S:1 B:0 | Bases: 110
Outcome: BALL       | Top 2 | AWAY 18 - 5 HOME | O:2 S:1 B:1 | Bases: 110
Outcome: FOUL       | Top 2 | AWAY 18 - 5 HOME | O:2 S:1 B:0 | Bases: 110
Outcome: BALL       | Top 2 | AWAY 18 - 5 HOME | O:2 S:1 B:1 | Bases: 110
Outcome: STRIKE     | Top 2 | AWAY 18 - 5 HOME | O:2 S:2 B:1 | Bases: 110
Outcome: STRIKE     | Bot 2 | AWAY 18 - 5 HOME | O:0 S:0 B:0 | Bases: 000
Outcome: FOUL       | Bot 2 | AWAY 18 - 5 HOME | O:0 S:1 B:0 | Bases: 000
Outcome: FOUL       | Bot 2 | AWAY 18 - 5 HOME | O:0 S:1 B:0 | Bases: 000
Outcome: FAIR       | Bot 2 | AWAY 18 - 5 HOME | O:0 S:0 B:0 | Bases: 100
Outcome: HOME RUN   | Bot 2 | AWAY 18 - 7 HOME | O:0 S:0 B:0 | Bases: 000
Outcome: FOUL       | Bot 2 | AWAY 18 - 7 HOME | O:0 S:1 B:0 | Bases: 000
Outcome: STRIKE     | Bot 2 | AWAY 18 - 7 HOME | O:0 S:2 B:0 | Bases: 000
Outcome: BALL       | Bot 2 | AWAY 18 - 7 HOME | O:0 S:2 B:1 | Bases: 000
Outcome: STRIKE     | Bot 2 | AWAY 18 - 7 HOME | O:1 S:0 B:0 | Bases: 000
Outcome: BALL       | Bot 2 | AWAY 18 - 7 HOME | O:1 S:0 B:1 | Bases: 000
Outcome: STRIKE     | Bot 2 | AWAY 18 - 7 HOME | O:1 S:1 B:1 | Bases: 000
Outcome: BALL       | Bot 2 | AWAY 18 - 7 HOME | O:1 S:1 B:2 | Bases: 000
Outcome: FAIR       | Bot 2 | AWAY 18 - 7 HOME | O:1 S:0 B:0 | Bases: 100
Outcome: BALL       | Bot 2 | AWAY 18 - 7 HOME | O:1 S:0 B:1 | Bases: 100
Outcome: FOUL       | Bot 2 | AWAY 18 - 7 HOME | O:1 S:1 B:0 | Bases: 100
Outcome: STRIKE     | Bot 2 | AWAY 18 - 7 HOME | O:1 S:2 B:0 | Bases: 100
Outcome: STRIKE     | Bot 2 | AWAY 18 - 7 HOME | O:2 S:0 B:0 | Bases: 100
Outcome: STRIKE     | Bot 2 | AWAY 18 - 7 HOME | O:2 S:1 B:0 | Bases: 100
Outcome: BALL       | Bot 2 | AWAY 18 - 7 HOME | O:2 S:1 B:1 | Bases: 100
Outcome: FAIR       | Bot 2 | AWAY 18 - 7 HOME | O:2 S:0 B:0 | Bases: 110
Outcome: STRIKE     | Bot 2 | AWAY 18 - 7 HOME | O:2 S:1 B:0 | Bases: 110
Outcome: STRIKE     | Bot 2 | AWAY 18 - 7 HOME | O:2 S:2 B:0 | Bases: 110
Outcome: FOUL       | Bot 2 | AWAY 18 - 7 HOME | O:2 S:1 B:0 | Bases: 110
Outcome: FAIR       | Bot 2 | AWAY 18 - 7 HOME | O:2 S:0 B:0 | Bases: 111
Outcome: FAIR       | Bot 2 | AWAY 18 - 8 HOME | O:2 S:0 B:0 | Bases: 111
Outcome: BALL       | Bot 2 | AWAY 18 - 8 HOME | O:2 S:0 B:1 | Bases: 111
Outcome: STRIKE     | Bot 2 | AWAY 18 - 8 HOME | O:2 S:1 B:1 | Bases: 111
Outcome: STRIKE     | Bot 2 | AWAY 18 - 8 HOME | O:2 S:2 B:1 | Bases: 111
Outcome: STRIKE     | Top 3 | AWAY 18 - 8 HOME | O:0 S:0 B:0 | Bases: 000
Outcome: BALL       | Top 3 | AWAY 18 - 8 HOME | O:0 S:0 B:1 | Bases: 000
Outcome: STRIKE     | Top 3 | AWAY 18 - 8 HOME | O:0 S:1 B:1 | Bases: 000
Outcome: STRIKE     | Top 3 | AWAY 18 - 8 HOME | O:0 S:2 B:1 | Bases: 000
Outcome: FOUL       | Top 3 | AWAY 18 - 8 HOME | O:0 S:1 B:0 | Bases: 000
Outcome: FAIR       | Top 3 | AWAY 18 - 8 HOME | O:0 S:0 B:0 | Bases: 100
Outcome: FAIR       | Top 3 | AWAY 18 - 8 HOME | O:0 S:0 B:0 | Bases: 110
Outcome: BALL       | Top 3 | AWAY 18 - 8 HOME | O:0 S:0 B:1 | Bases: 110
Outcome: BALL       | Top 3 | AWAY 18 - 8 HOME | O:0 S:0 B:2 | Bases: 110
Outcome: BALL       | Top 3 | AWAY 18 - 8 HOME | O:0 S:0 B:3 | Bases: 110
Outcome: FOUL       | Top 3 | AWAY 18 - 8 HOME | O:0 S:1 B:0 | Bases: 110
Outcome: BALL       | Top 3 | AWAY 18 - 8 HOME | O:0 S:1 B:1 | Bases: 110
Outcome: FOUL       | Top 3 | AWAY 18 - 8 HOME | O:0 S:1 B:0 | Bases: 110
Outcome: BALL       | Top 3 | AWAY 18 - 8 HOME | O:0 S:1 B:1 | Bases: 110
Outcome: HOME RUN   | Top 3 | AWAY 21 - 8 HOME | O:0 S:0 B:0 | Bases: 000
Outcome: FAIR       | Top 3 | AWAY 21 - 8 HOME | O:0 S:0 B:0 | Bases: 100
Outcome: BALL       | Top 3 | AWAY 21 - 8 HOME | O:0 S:0 B:1 | Bases: 100
Outcome: STRIKE     | Top 3 | AWAY 21 - 8 HOME | O:0 S:1 B:1 | Bases: 100
Outcome: STRIKE     | Top 3 | AWAY 21 - 8 HOME | O:0 S:2 B:1 | Bases: 100
Outcome: FAIR       | Top 3 | AWAY 21 - 8 HOME | O:0 S:0 B:0 | Bases: 110
Outcome: FOUL       | Top 3 | AWAY 21 - 8 HOME | O:0 S:1 B:0 | Bases: 110
Outcome: FAIR       | Top 3 | AWAY 21 - 8 HOME | O:0 S:0 B:0 | Bases: 111
Outcome: BALL       | Top 3 | AWAY 21 - 8 HOME | O:0 S:0 B:1 | Bases: 111
Outcome: BALL       | Top 3 | AWAY 21 - 8 HOME | O:0 S:0 B:2 | Bases: 111
Outcome: BALL       | Top 3 | AWAY 21 - 8 HOME | O:0 S:0 B:3 | Bases: 111
Outcome: STRIKE     | Top 3 | AWAY 21 - 8 HOME | O:0 S:1 B:3 | Bases: 111
Outcome: FOUL       | Top 3 | AWAY 21 - 8 HOME | O:0 S:1 B:0 | Bases: 111
Outcome: FOUL       | Top 3 | AWAY 21 - 8 HOME | O:0 S:1 B:0 | Bases: 111
Outcome: FAIR       | Top 3 | AWAY 22 - 8 HOME | O:0 S:0 B:0 | Bases: 111
Outcome: BALL       | Top 3 | AWAY 22 - 8 HOME | O:0 S:0 B:1 | Bases: 111
Outcome: STRIKE     | Top 3 | AWAY 22 - 8 HOME | O:0 S:1 B:1 | Bases: 111
Outcome: STRIKE     | Top 3 | AWAY 22 - 8 HOME | O:0 S:2 B:1 | Bases: 111
Outcome: BALL       | Top 3 | AWAY 22 - 8 HOME | O:0 S:2 B:2 | Bases: 111
Outcome: FAIR       | Top 3 | AWAY 23 - 8 HOME | O:0 S:0 B:0 | Bases: 111
Outcome: FAIR       | Top 3 | AWAY 24 - 8 HOME | O:0 S:0 B:0 | Bases: 111
Outcome: FAIR       | Top 3 | AWAY 25 - 8 HOME | O:0 S:0 B:0 | Bases: 111
Outcome: FOUL       | Top 3 | AWAY 25 - 8 HOME | O:0 S:1 B:0 | Bases: 111
Outcome: BALL       | Top 3 | AWAY 25 - 8 HOME | O:0 S:1 B:1 | Bases: 111
Outcome: FOUL       | Top 3 | AWAY 25 - 8 HOME | O:0 S:1 B:0 | Bases: 111
Outcome: FOUL       | Top 3 | AWAY 25 - 8 HOME | O:0 S:1 B:0 | Bases: 111
Outcome: BALL       | Top 3 | AWAY 25 - 8 HOME | O:0 S:1 B:1 | Bases: 111
Outcome: FAIR       | Top 3 | AWAY 26 - 8 HOME | O:0 S:0 B:0 | Bases: 111
Outcome: FAIR       | Top 3 | AWAY 27 - 8 HOME | O:0 S:0 B:0 | Bases: 111
Outcome: BALL       | Top 3 | AWAY 27 - 8 HOME | O:0 S:0 B:1 | Bases: 111
Outcome: STRIKE     | Top 3 | AWAY 27 - 8 HOME | O:0 S:1 B:1 | Bases: 111
Outcome: BALL       | Top 3 | AWAY 27 - 8 HOME | O:0 S:1 B:2 | Bases: 111
Outcome: HOME RUN   | Top 3 | AWAY 31 - 8 HOME | O:0 S:0 B:0 | Bases: 000
Outcome: BALL       | Top 3 | AWAY 31 - 8 HOME | O:0 S:0 B:1 | Bases: 000
Outcome: BALL       | Top 3 | AWAY 31 - 8 HOME | O:0 S:0 B:2 | Bases: 000
Outcome: STRIKE     | Top 3 | AWAY 31 - 8 HOME | O:0 S:1 B:2 | Bases: 000
Outcome: FAIR       | Top 3 | AWAY 31 - 8 HOME | O:0 S:0 B:0 | Bases: 100
Outcome: STRIKE     | Top 3 | AWAY 31 - 8 HOME | O:0 S:1 B:0 | Bases: 100
Outcome: BALL       | Top 3 | AWAY 31 - 8 HOME | O:0 S:1 B:1 | Bases: 100
Outcome: STRIKE     | Top 3 | AWAY 31 - 8 HOME | O:0 S:2 B:1 | Bases: 100
Outcome: STRIKE     | Top 3 | AWAY 31 - 8 HOME | O:1 S:0 B:0 | Bases: 100
Outcome: STRIKE     | Top 3 | AWAY 31 - 8 HOME | O:1 S:1 B:0 | Bases: 100
Outcome: STRIKE     | Top 3 | AWAY 31 - 8 HOME | O:1 S:2 B:0 | Bases: 100
Outcome: STRIKE     | Top 3 | AWAY 31 - 8 HOME | O:2 S:0 B:0 | Bases: 100
Outcome: BALL       | Top 3 | AWAY 31 - 8 HOME | O:2 S:0 B:1 | Bases: 100
Outcome: BALL       | Top 3 | AWAY 31 - 8 HOME | O:2 S:0 B:2 | Bases: 100
Outcome: STRIKE     | Top 3 | AWAY 31 - 8 HOME | O:2 S:1 B:2 | Bases: 100
Outcome: FAIR       | Top 3 | AWAY 31 - 8 HOME | O:2 S:0 B:0 | Bases: 110
Outcome: FOUL       | Top 3 | AWAY 31 - 8 HOME | O:2 S:1 B:0 | Bases: 110
Outcome: FOUL       | Top 3 | AWAY 31 - 8 HOME | O:2 S:1 B:0 | Bases: 110
Outcome: HOME RUN   | Top 3 | AWAY 34 - 8 HOME | O:2 S:0 B:0 | Bases: 000
Outcome: STRIKE     | Top 3 | AWAY 34 - 8 HOME | O:2 S:1 B:0 | Bases: 000
Outcome: STRIKE     | Top 3 | AWAY 34 - 8 HOME | O:2 S:2 B:0 | Bases: 000
Outcome: FAIR       | Top 3 | AWAY 34 - 8 HOME | O:2 S:0 B:0 | Bases: 100
Outcome: STRIKE     | Top 3 | AWAY 34 - 8 HOME | O:2 S:1 B:0 | Bases: 100
Outcome: STRIKE     | Top 3 | AWAY 34 - 8 HOME | O:2 S:2 B:0 | Bases: 100
Outcome: STRIKE     | Bot 3 | AWAY 34 - 8 HOME | O:0 S:0 B:0 | Bases: 000
Outcome: BALL       | Bot 3 | AWAY 34 - 8 HOME | O:0 S:0 B:1 | Bases: 000
Outcome: HOME RUN   | Bot 3 | AWAY 34 - 9 HOME | O:0 S:0 B:0 | Bases: 000
Outcome: BALL       | Bot 3 | AWAY 34 - 9 HOME | O:0 S:0 B:1 | Bases: 000
Outcome: HOME RUN   | Bot 3 | AWAY 34 - 10 HOME | O:0 S:0 B:0 | Bases: 000
Outcome: FAIR       | Bot 3 | AWAY 34 - 10 HOME | O:0 S:0 B:0 | Bases: 100
Outcome: FAIR       | Bot 3 | AWAY 34 - 10 HOME | O:0 S:0 B:0 | Bases: 110
Outcome: HOME RUN   | Bot 3 | AWAY 34 - 13 HOME | O:0 S:0 B:0 | Bases: 000
Outcome: FAIR       | Bot 3 | AWAY 34 - 13 HOME | O:0 S:0 B:0 | Bases: 100
Outcome: FAIR       | Bot 3 | AWAY 34 - 13 HOME | O:0 S:0 B:0 | Bases: 110
Outcome: BALL       | Bot 3 | AWAY 34 - 13 HOME | O:0 S:0 B:1 | Bases: 110
Outcome: STRIKE     | Bot 3 | AWAY 34 - 13 HOME | O:0 S:1 B:1 | Bases: 110
Outcome: BALL       | Bot 3 | AWAY 34 - 13 HOME | O:0 S:1 B:2 | Bases: 110
Outcome: FAIR       | Bot 3 | AWAY 34 - 13 HOME | O:0 S:0 B:0 | Bases: 111
Outcome: FOUL       | Bot 3 | AWAY 34 - 13 HOME | O:0 S:1 B:0 | Bases: 111
Outcome: FAIR       | Bot 3 | AWAY 34 - 14 HOME | O:0 S:0 B:0 | Bases: 111
Outcome: BALL       | Bot 3 | AWAY 34 - 14 HOME | O:0 S:0 B:1 | Bases: 111
Outcome: FOUL       | Bot 3 | AWAY 34 - 14 HOME | O:0 S:1 B:0 | Bases: 111
Outcome: BALL       | Bot 3 | AWAY 34 - 14 HOME | O:0 S:1 B:1 | Bases: 111
Outcome: FAIR       | Bot 3 | AWAY 34 - 15 HOME | O:0 S:0 B:0 | Bases: 111
Outcome: FAIR       | Bot 3 | AWAY 34 - 16 HOME | O:0 S:0 B:0 | Bases: 111
Outcome: STRIKE     | Bot 3 | AWAY 34 - 16 HOME | O:0 S:1 B:0 | Bases: 111
Outcome: STRIKE     | Bot 3 | AWAY 34 - 16 HOME | O:0 S:2 B:0 | Bases: 111
Outcome: BALL       | Bot 3 | AWAY 34 - 16 HOME | O:0 S:2 B:1 | Bases: 111
Outcome: BALL       | Bot 3 | AWAY 34 - 16 HOME | O:0 S:2 B:2 | Bases: 111
Outcome: BALL       | Bot 3 | AWAY 34 - 16 HOME | O:0 S:2 B:3 | Bases: 111
Outcome: HOME RUN   | Bot 3 | AWAY 34 - 20 HOME | O:0 S:0 B:0 | Bases: 000
Outcome: FAIR       | Bot 3 | AWAY 34 - 20 HOME | O:0 S:0 B:0 | Bases: 100
Outcome: FOUL       | Bot 3 | AWAY 34 - 20 HOME | O:0 S:1 B:0 | Bases: 100
Outcome: HOME RUN   | Bot 3 | AWAY 34 - 22 HOME | O:0 S:0 B:0 | Bases: 000
Outcome: FAIR       | Bot 3 | AWAY 34 - 22 HOME | O:0 S:0 B:0 | Bases: 100
Outcome: HOME RUN   | Bot 3 | AWAY 34 - 24 HOME | O:0 S:0 B:0 | Bases: 000
Outcome: BALL       | Bot 3 | AWAY 34 - 24 HOME | O:0 S:0 B:1 | Bases: 000
Outcome: STRIKE     | Bot 3 | AWAY 34 - 24 HOME | O:0 S:1 B:1 | Bases: 000
Outcome: BALL       | Bot 3 | AWAY 34 - 24 HOME | O:0 S:1 B:2 | Bases: 000
Outcome: STRIKE     | Bot 3 | AWAY 34 - 24 HOME | O:0 S:2 B:2 | Bases: 000
Outcome: BALL       | Bot 3 | AWAY 34 - 24 HOME | O:0 S:2 B:3 | Bases: 000
Outcome: BALL       | Bot 3 | AWAY 34 - 24 HOME | O:0 S:0 B:0 | Bases: 100
Outcome: STRIKE     | Bot 3 | AWAY 34 - 24 HOME | O:0 S:1 B:0 | Bases: 100
Outcome: FOUL       | Bot 3 | AWAY 34 - 24 HOME | O:0 S:1 B:0 | Bases: 100
Outcome: STRIKE     | Bot 3 | AWAY 34 - 24 HOME | O:0 S:2 B:0 | Bases: 100
Outcome: FOUL       | Bot 3 | AWAY 34 - 24 HOME | O:0 S:1 B:0 | Bases: 100
Outcome: BALL       | Bot 3 | AWAY 34 - 24 HOME | O:0 S:1 B:1 | Bases: 100
Outcome: BALL       | Bot 3 | AWAY 34 - 24 HOME | O:0 S:1 B:2 | Bases: 100
Outcome: BALL       | Bot 3 | AWAY 34 - 24 HOME | O:0 S:1 B:3 | Bases: 100
Outcome: FOUL       | Bot 3 | AWAY 34 - 24 HOME | O:0 S:1 B:0 | Bases: 100
Outcome: BALL       | Bot 3 | AWAY 34 - 24 HOME | O:0 S:1 B:1 | Bases: 100
Outcome: STRIKE     | Bot 3 | AWAY 34 - 24 HOME | O:0 S:2 B:1 | Bases: 100
Outcome: FAIR       | Bot 3 | AWAY 34 - 24 HOME | O:0 S:0 B:0 | Bases: 110
Outcome: BALL       | Bot 3 | AWAY 34 - 24 HOME | O:0 S:0 B:1 | Bases: 110
Outcome: FAIR       | Bot 3 | AWAY 34 - 24 HOME | O:0 S:0 B:0 | Bases: 111
Outcome: FOUL       | Bot 3 | AWAY 34 - 24 HOME | O:0 S:1 B:0 | Bases: 111
